05-12-2018 04:20:26 - ===============================Started Adding License Comments, Project - C:\GitHubRepository\Ginger\Ginger===============================
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActDescriptionPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActDropDownListEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActExcelEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActFileOperationEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActFileTransferEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActGenElementEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActGenerateFileFromTemplateEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActGoToURLEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActHandleBrowserAlert.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActionEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActionFlowControlPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActionLogConfigPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActionsPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActLaunchJavaWSApplicationEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActLinkEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActLowLevelClicksEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActMenuItemEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActMobileDeviceEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActPBControlEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActPWLEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActReadTextFileEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActScreenShotEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActScriptEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActSendKeysEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActSetVariableValuePage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActSmartSyncEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActSwitchWindowEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActTableEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActTextBoxEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActTextSpeechEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActUIAButtonEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActUIAClickOnPointEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActUIAGridEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActUIAImageEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActUIALabelEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActUIASwitchWindowEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActUIATextBoxEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActWebSitePerformanceTimingPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActWindowEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\AddActionPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\EditLocatorsWindow.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\UCFileBrowser.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\UCInputValuesGrid.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\UCValueExpression.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\UIAutomation.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ValidationDBPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ActionsNew\ActionConfigPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ActionsNew\ActionOutputPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ActionsNew\NewAddActionPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Activities\ActivitiesGroupPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Activities\ActivitiesGroupsActivitiesSelectionPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Activities\ActivitiesGroupsManagerPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Activities\ActivitiesGroupsPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Activities\ActivitiesMiniViewPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Activities\ActivitiesPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Activities\ActivityEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Activities\BusinessFlowActivityUsage.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Activities\ErrorHandlerMappingPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Activities\UCValueExpression.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AdornerLib\HighlightAdornerControl.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Agents\AgentControlValidationRule.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Agents\AgentDriverConfigPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Agents\AgentEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Agents\AgentNameValidationRule.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Agents\AgentsPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Agents\ApplicationAgentsMapPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Agents\DriverConfigurationParamEditWindow.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Agents\NewAgentPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Agents\ucAgentControl.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AgentsNew\MapApplicationAgentPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AgentsNew\NewAgentEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AgentsNew\NewAgentPage.xaml.cs
05-12-2018 04:20:27 - Earlier - False, License Added - True, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AgentsNew\SolutionAgentsPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ALM\ALMConnectionPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ALM\ALMDefectsProfilesPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ALM\ALMIntegration.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ALM\ALMItemsFieldsConfigurationPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AnalyzerLib\AnalyzeAction.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AnalyzerLib\AnalyzeActivity.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AnalyzerLib\AnalyzeBusinessFlow.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AnalyzerLib\AnalyzeGingerRunner.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AnalyzerLib\AnalyzerItemBase.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AnalyzerLib\AnalyzerPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AnalyzerLib\AnalyzeRunnerBusinessFlow.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AnalyzerLib\AnalyzeSolution.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AnalyzerLib\RunSetConfigAnalyzer.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ApiModelsFolder\AddApiModelActionWizardPage.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ApiModelsFolder\APIModelParamsWizardPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ApiModelsFolder\APIModelSelectionWizardPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ApplicationModelsLib\ApplicationsPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ApplicationPlatformsLib\AddApplicationPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ApplicationPlatformsLib\ApplicationEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ApplicationsModels\ApplicationModelsHandler.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BDD\BDDIntegration.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BetaFeaturesLib\BetaFeaturesPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowsLibNew\ActivityActionsPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowsLibNew\ActivityPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowsLibNew\ActivityVariablesPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowsLibNew\BusinessFlowDiagramPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowsLibNew\BusinessFlowInfoPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowsLibNew\BusinessFlowsPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowsLibNew\BusinessFlowViewPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowsLibNew\GingerActionEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowsLibNew\NewAutomatePage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowWindows\AutomateEventArgs.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowWindows\AutomatePage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowWindows\BusinessFlowPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowWindows\BusinessFlowsAutomatePage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowWindows\EditBusinessFlowAppsPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowWindows\ExecutionSummaryPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowWindows\ExplorerBusinessFlowsPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowWindows\OpenBusinessFlowWindow.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowWindows\SourceGherkinPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\BusinessFlowWindows\UCValueExpression.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\DataSource\AddNewDataSourcePage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\DataSource\AddNewTableColumnPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\DataSource\AddNewTablePage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\DataSource\DataSourceExportToExcelPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\DataSource\DataSourcePage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\DataSource\DataSourcesPage.xaml.cs
